threshold,precision,recall,f1,true_negatives,false_positives,false_negatives,true_positives
0.2,0.10488602266111335,0.9434038267875126,0.1887834270398807,16564,39974,281,4684
0.25,0.11617347333660122,0.9069486404833836,0.2059644147646709,22280,34258,462,4503
0.3,0.12804476629361422,0.8618328298086606,0.2229632910403043,27399,29139,686,4279
0.35,0.14231133232850784,0.8177240684793555,0.24243148026512212,32069,24469,905,4060
0.4,0.1566349441766572,0.7657603222557905,0.26007250837950613,36067,20471,1163,3802
0.45,0.17362873316416164,0.7166163141993958,0.2795301881604274,39604,16934,1407,3558
0.5,0.1919352934230724,0.6547834843907352,0.2968543121946765,42851,13687,1714,3251
0.55,0.21089720305121684,0.5846928499496475,0.3099839829151094,45676,10862,2062,2903
0.6,0.2351108667766172,0.5168177240684794,0.32319415580326216,48190,8348,2399,2566
0.65,0.2621184919210054,0.44108761329305135,0.32882882882882886,50373,6165,2775,2190
0.7,0.2961724887180344,0.3568982880161128,0.3237120935330654,52327,4211,3193,1772
0.75,0.3396029258098224,0.2618328298086606,0.2956897532127829,54010,2528,3665,1300
0.8,0.4041284403669725,0.17744209466263847,0.24660601819454164,55239,1299,4084,881
