feature,feature_value,shap_value,abs_shap,direction,business_feature
EXT_SOURCE_3,0.1393757800997895,0.8070878054745955,0.8070878054745955,Increases risk,External Credit Score 3
EXT_SOURCE_1,0.0830369673913225,0.7322882894010099,0.7322882894010099,Increases risk,External Credit Score 1
EXT_SOURCE_2,0.2629485927471776,0.3105742112755008,0.3105742112755008,Increases risk,External Credit Score 2
AGE_YEARS,25.90280629705681,-0.2663354108086468,0.2663354108086468,Decreases risk,Age
AMT_GOODS_PRICE,351000.0,0.15544577505406074,0.15544577505406074,Increases risk,Amt Goods Price
DEF_60_CNT_SOCIAL_CIRCLE,2.0,0.110773313355351,0.110773313355351,Increases risk,Def 60 Cnt Social Circle
DEF_30_CNT_SOCIAL_CIRCLE,2.0,0.10442483906674803,0.10442483906674803,Increases risk,Def 30 Cnt Social Circle
EMPLOYMENT_YEARS,1.7440109514031483,0.10437197098502626,0.10437197098502626,Increases risk,Employment Duration
LATE_PAYMENT_RATE,0.0,-0.09678940146148576,0.09678940146148576,Decreases risk,Late Payment Rate
OCCUPATION_TYPE,Laborers,0.0762405296238023,0.0762405296238023,Increases risk,Occupation Type
ORGANIZATION_TYPE,Business Entity Type 3,0.07362379607855592,0.07362379607855592,Increases risk,Organization Type
BUREAU_TOTAL_DEBT,245781.0,-0.04985585893025695,0.04985585893025695,Decreases risk,Historical Debt
LANDAREA_AVG,0.0369,0.0471952325667704,0.0471952325667704,Increases risk,Landarea Avg
NAME_EDUCATION_TYPE,Secondary / secondary special,0.04450473386041439,0.04450473386041439,Increases risk,Name Education Type
OWN_CAR_AGE,,0.04355100713729923,0.04355100713729923,Increases risk,Own Car Age
APARTMENTS_AVG,0.0247,0.0400327019113432,0.0400327019113432,Increases risk,Apartments Avg
POS_RECORD_COUNT,19.0,0.03807781853811625,0.03807781853811625,Increases risk,Pos Record Count
PREV_APPROVAL_RATE,1.0,-0.03609149544248451,0.03609149544248451,Decreases risk,Previous Approval Rate
PREV_TOTAL_CREDIT,179055.0,-0.032048229831068586,0.032048229831068586,Decreases risk,Previous Credit Amount
FLAG_DOCUMENT_3,1,0.02806825791755105,0.02806825791755105,Increases risk,Flag Document 3
PREV_REFUSED_COUNT,0.0,-0.02680751214068857,0.02680751214068857,Decreases risk,Previous Refused Applications
BUREAU_TOTAL_CREDIT,865055.565,-0.026219276664116564,0.026219276664116564,Decreases risk,Historical Credit Amount
NAME_INCOME_TYPE,Working,0.024361562506371802,0.024361562506371802,Increases risk,Name Income Type
REGION_POPULATION_RELATIVE,0.018801,0.024073047113459124,0.024073047113459124,Increases risk,Region Population Relative
